,originalTitle,brTitle
167,Mad Love (1995),Louco Amor (1995)
168,Mallrats (1995),Barrados no Shopping (1995)
169,Mighty Morphin Power Rangers: The Movie (1995),Power Rangers: O Filme (1995)
170,Moonlight and Valentino (1995),O Jogo da Verdade (1995)
171,Mute Witness (1994),Testemunha Muda (1994)
172,Nadja (1994),Nadja (1994)
173,"Net, The (1995)",A Rede (1995)
174,Nine Months (1995),Nove Meses (1995)
175,Party Girl (1995),Baladas em NY (1995)
176,"Prophecy, The (1995)",Anjos Rebeldes (1995)
177,Reckless (1995),Aconteceu no Natal (1995)
178,Safe (1995),Mal do Século (1995)
179,"Scarlet Letter, The (1995)",A Letra Escarlate (1995)
180,The Show (1995),The Show (1995)
181,Showgirls (1995),Showgirls: Dançando Para Viver (1995)
182,Smoke (1995),Cortina de Fumaça (1995)
183,Something to Talk About (1995),O Poder do Amor (1995)
184,Species (1995),A experiência (1995)
185,"Stars Fell on Henrietta, The (1995)",As Estrelas de Henrietta (1995)
186,Strange Days (1995),Estranhos Prazeres (1995)
187,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Os Guarda-Chuvas do Amor (1964)
188,"Tie That Binds, The (1995)",Laços Diabólicos (1995)
189,Three Wishes (1995),Os Três Desejos (1995)
190,Total Eclipse (1995),Eclipse de uma Paixão (1995)
191,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Para Wong Foo, Obrigada por Tudo! Julie Newmar (1995)"
192,Under Siege 2: Dark Territory (1995),A Força em Alerta 2 (1995)
193,Unstrung Heroes (1995),Meus Tios Heróis (1995)
194,Unzipped (1995),Abrindo o Zíper (1995)
195,"Walk in the Clouds, A (1995)",Caminhando nas Nuvens (1995)
196,Waterworld (1995),Waterworld: O Segredo das Águas (1995)
197,White Man's Burden (1995),A Cor da Fúria (1995)
198,Wild Bill (1995),"Wild Bill, uma Lenda no Oeste (1995)"
199,"Browning Version, The (1994)",Nunca te Amei (1994)
200,Bushwhacked (1995),Duro de Agarrar (1995)
201,Burnt by the Sun (Utomlyonnye solntsem) (1994),O Sol Enganador (1994)
202,Before the Rain (Pred dozhdot) (1994),Antes da Chuva (1994)
203,Before Sunrise (1995),Antes do Amanhecer (1995)
204,Billy Madison (1995),"Billy Madison, um Herdeiro Bobalhão (1995)"
205,"Babysitter, The (1995)",A Babysitter (1995)
206,Boys on the Side (1995),Somente Elas (1995)
207,"Cure, The (1995)",A Cura (1995)
208,Castle Freak (1995),Herança Maldita (1995)
209,Circle of Friends (1995),Três Amigas e uma Traição (1995)
210,Clerks (1994),O Balconista (1994)
211,Don Juan DeMarco (1995),Don Juan DeMarco (1995)
212,Disclosure (1994),Assédio Sexual (1994)
213,Drop Zone (1994),Zona Mortal (1994)
214,Destiny Turns on the Radio (1995),Johnny Destino (1995)
215,Death and the Maiden (1994),A Morte e a Donzela (1994)
216,Dolores Claiborne (1995),Eclipse Total (1995)
217,Dumb & Dumber (Dumb and Dumber) (1994),Débi e Lóide - Dois Idiotas em Apuros (1994)
218,Eat Drink Man Woman (Yin shi nan nu) (1994),Comer Beber Viver (1994)
219,Exotica (1994),Exótica (1994)
220,Exit to Eden (1994),O Amor é uma Grande Fantasia (1994)
221,Ed Wood (1994),Ed Wood (1994)
222,French Kiss (1995),Surpresas do Coração (1995)
223,Forget Paris (1995),Esqueça Paris (1995)
224,Far From Home: The Adventures of Yellow Dog (1995),Amigos para sempre (1995)
225,"Goofy Movie, A (1995)",Pateta: O Filme (1995)
226,Hideaway (1995),O Esconderijo (1995)
227,Fluke (1995),Lembranças de Outra Vida (1995)
228,Farinelli: il castrato (1994),Farinelli (1994)
229,Gordy (1995),Gordy: O Porquinho Herói (1995)
230,Gumby: The Movie (1995),Gumby: The Movie (1995)
231,The Glass Shield (1994),Conspiração Policial (1994)
232,Hoop Dreams (1994),Basquete Blues (1994)
233,Heavenly Creatures (1994),Almas Gêmeas (1994)
234,Houseguest (1994),Hóspede por Acaso (1994)
235,Immortal Beloved (1994),Minha Amada Imortal (1994)
236,Heavyweights (Heavy Weights) (1995),Turma da Pesada (1995)
237,"Hunted, The (1995)",Marcado para Morrer (1995)
238,I.Q. (1994),A Teoria do Amor (1994)
239,Interview with the Vampire: The Vampire Chronicles (1994),Entrevista com o Vampiro (1994)
240,Jefferson in Paris (1995),Jefferson em Paris (1995)
241,"Jerky Boys, The (1995)",Os Idiotas (1995)
242,Junior (1994),Júnior (1994)
243,Just Cause (1995),Justa Causa (1995)
244,"Kid in King Arthur's Court, A (1995)",Um Garoto na Corte do Rei Arthur (1995)
245,Kiss of Death (1995),O Beijo da Morte (1995)
246,Star Wars: Episode IV - A New Hope (1977),Star Wars: Uma Nova Esperança (1977)
247,Little Women (1994),Adoráveis Mulheres (1994)
248,"Little Princess, A (1995)",A Princesinha (1995)
249,Ladybird Ladybird (1994),Ladybird Ladybird (1994)
250,"Enfer, L' (1994)",Ciúme - O Inferno do Amor Possessivo (1994)
251,Like Water for Chocolate (Como agua para chocolate) (1992),Como Água para Chocolate (1992)
252,Legends of the Fall (1994),Lendas da Paixão (1994)
253,Major Payne (1995),Pelotão Em Apuros (1995)
254,Little Odessa (1994),Fuga para Odessa (1994)
255,My Crazy Life (Mi vida loca) (1993),Minha Vida Louca (1993)
256,Love Affair (1994),Segredos do Coração (1994)
257,Losing Isaiah (1995),O Destino de uma Vida (1995)
258,"Madness of King George, The (1994)",As Loucuras do Rei George (1994)
259,Mary Shelley's Frankenstein (Frankenstein) (1994),Frankenstein de Mary Shelley (1994)
260,Man of the House (1995),O Homem da Casa (1995)
261,Mixed Nuts (1994),Um Dia de Louco (1994)
262,Milk Money (1994),As Aparências Enganam (1994)
263,Miracle on 34th Street (1994),Milagre na Rua 34 (1994)
264,Miami Rhapsody (1995),Casos e Casamentos (1995)
265,My Family (1995),Minha Família (1995)
266,Murder in the First (1995),Assassinato em Primeiro Grau (1995)
267,Nobody's Fool (1994),O Indomável: Assim é Minha Vida (1994)
268,Nell (1994),Nell (1994)
269,New Jersey Drive (1995),Ladrões de Carro (1995)
270,Beyond Bedlam (1993),Fronteiras do Terror (1993)
271,Nemesis 2: Nebula (1995),Nemesis 2: A Última Esperança (1995)
272,Nina Takes a Lover (1994),O Amante de Nina (1994)
273,Natural Born Killers (1994),Assassinos por Natureza (1994)
274,Only You (1994),Só Você (1994)
275,Once Were Warriors (1994),O Amor e a Fúria (1994)
276,Outbreak (1995),Epidemia (1995)
277,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),O Profissional (1994)
278,"Perez Family, The (1995)",Tudo por um Sonho (1995)
279,"Pyromaniac's Love Story, A (1995)",Um Piromaníaco Apaixonado (1995)
280,Pulp Fiction (1994),Pulp Fiction - Tempo de Violência (1994)
281,Panther (1995),Panteras Negras (1995)
282,Pushing Hands (Tui shou) (1992),A Arte de Viver (1992)
283,Priest (1994),O Padre (1994)
284,Quiz Show (1994),Quiz Show: A Verdade dos Bastidores (1994)
285,Picture Bride (Bijo photo) (1994),A Mulher Prometida (1994)
286,"Queen Margot (Reine Margot, La) (1994)",A Rainha Margot (1994)
287,"Quick and the Dead, The (1995)",Rápida e Mortal (1995)
288,Roommates (1995),Meu Eterno Companheiro (1995)
289,Ready to Wear (Pret-A-Porter) (1994),Prêt-à-Porter (1994)
290,Three Colors: Red (Trois couleurs: Rouge) (1994),A Fraternidade é Vermelha (1994)
291,Three Colors: Blue (Trois couleurs: Bleu) (1993),A Liberdade é Azul (1993)
292,Three Colors: White (Trzy kolory: Bialy) (1994),A Igualdade é Branca (1994)
293,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)","Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
294,Rent-a-Kid (1995),Aluga-se Um Garoto (1995)
295,Relative Fear (1994),Os Segredos de Adam (1994)
296,Stuart Saves His Family (1995),Como Salvar Sua Família (1995)
297,"Swan Princess, The (1994)",A Princesa Encantada (1994)
298,"Secret of Roan Inish, The (1994)",O Mistério da Ilha (1994)
299,"Specialist, The (1994)",O Especialista (1994)
300,Stargate (1994),"Stargate, a Chave para o Futuro da Humanidade (1994)"
301,"Santa Clause, The (1994)",Meu Papai é Noel (1994)
302,"Shawshank Redemption, The (1994)",Um Sonho de Liberdade (1994)
303,Shallow Grave (1994),Cova Rasa (1994)
304,Suture (1993),Sutura (1993)
305,Strawberry and Chocolate (Fresa y chocolate) (1993),Morango E Chocolate (1993)
306,Swimming with Sharks (1995),O Preço da Ambição (1995)
307,"Sum of Us, The (1994)",Nossa Essência (1994)
308,National Lampoon's Senior Trip (1995),Heróis por Acidente (1995)
309,To Live (Huozhe) (1994),Tempo de Viver (1994)
310,Tank Girl (1995),"Tank Girl, Detonando o Futuro (1995)"
311,Tales from the Crypt Presents: Demon Knight (1995),Os Demônios da Noite (1995)
312,Star Trek: Generations (1994),Jornada nas Estrelas 7: Novas Gerações (1994)
313,Tales from the Hood (1995),Contos Macabros (1995)
314,Tom & Viv (1994),Tom e Viv (1994)
315,Village of the Damned (1995),A Cidade dos Amaldiçoados (1995)
316,Tommy Boy (1995),Mong e Lóide (1995)
317,Vanya on 42nd Street (1994),Tio Vanya em Nova York (1994)
318,Underneath (1995),Obsessão (1995)
319,"Walking Dead, The (1995)",Resgate no Vietnã (1995)
320,What's Eating Gilbert Grape (1993),Gilbert Grape: Aprendiz de Sonhador (1993)
321,Virtuosity (1995),Assassino Virtual (1995)
322,While You Were Sleeping (1995),Enquanto Você Dormia (1995)
323,"War, The (1994)",A Árvore dos Sonhos (1994)
324,Double Happiness (1994),Double Happiness (1994)
325,Muriel's Wedding (1994),O Casamento de Muriel (1994)
326,"Baby-Sitters Club, The (1995)",O Clube das Babás (1995)
327,Ace Ventura: Pet Detective (1994),Ace Ventura: Um Detetive Diferente (1994)
328,"Adventures of Priscilla, Queen of the Desert, The (1994)","Priscilla, a Rainha do Deserto (1994)"
329,Backbeat (1993),Backbeat - Os 5 Rapazes de Liverpool (1993)
330,Bitter Moon (1992),Lua de Fel (1992)
331,Bullets Over Broadway (1994),Tiros na Broadway (1994)
332,Clear and Present Danger (1994),Perigo Real e Imediato (1994)
333,"Client, The (1994)",O Cliente (1994)
334,"Corrina, Corrina (1994)","Corina, uma Babá Perfeita (1994)"
335,Crooklyn (1994),Uma Família de Pernas pro Ar (1994)
336,"Crow, The (1994)",O Corvo (1994)
337,Cobb (1994),"Cobb, a Lenda (1994)"
338,"Flintstones, The (1994)",Os Flintstones: O Filme (1994)
339,Forrest Gump (1994),Forrest Gump: O Contador de Histórias (1994)
340,Four Weddings and a Funeral (1994),Quatro Casamentos e um Funeral (1994)
341,Higher Learning (1995),Duro Aprendizado (1995)
342,I Like It Like That (1994),Assim Te Quero Meu Amor (1994)
343,I Love Trouble (1994),Adoro Problemas (1994)
344,It Could Happen to You (1994),Atraídos pelo Destino (1994)
345,"Jungle Book, The (1994)",Mowgli - O Livro da Selva (1994)
346,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Leni Riefenstahl - A Deusa Imperfeita (1993)
347,"Lion King, The (1994)",O Rei Leão (1994)
348,Little Buddha (1993),O Pequeno Buda (1993)
349,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",O Novo Pesadelo: O Retorno de Freddy Krueger (1994)
350,"Mask, The (1994)",O Máskara (1994)
351,Maverick (1994),Maverick (1994)
352,Mrs. Parker and the Vicious Circle (1994),O Círculo do Vício (1994)
353,Naked Gun 33 1/3: The Final Insult (1994),Corra que a Polícia vem Aí! 33 1/3: O Insulto Final (1994)
354,"Paper, The (1994)",O Jornal (1994)
355,Reality Bites (1994),Caindo na Real (1994)
356,Red Rock West (1992),Morte sob Encomenda (1992)
357,Richie Rich (1994),Riquinho (1994)
358,Safe Passage (1994),Unidos pela Esperança (1994)
359,"River Wild, The (1994)",O Rio Selvagem (1994)
360,Speed (1994),Velocidade Máxima (1994)
361,Speechless (1994),Apenas Bons Amigos (1994)
362,Timecop (1994),O Guardião do Tempo (1994)
363,True Lies (1994),True Lies (1994)
364,When a Man Loves a Woman (1994),Quando um Homem Ama uma Mulher (1994)
365,Wolf (1994),Lobo (1994)
366,Wyatt Earp (1994),Wyatt Earp (1994)
367,Bad Company (1995),Má Companhia (1995)
368,"Man of No Importance, A (1994)",Um Homem Sem Importância (1994)
369,S.F.W. (1994),S.F.W. - Filhos da Violência (1994)
370,"Low Down Dirty Shame, A (1994)",Um Tira Sem Vergonha (1994)
371,Boys Life (1995),Meninos e Amores (1995)
372,"Colonel Chabert, Le (1994)",Coronel Chabert: Amor e Mentiras (1994)
373,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill! (1965)
374,Jason's Lyric (1994),A Face da Verdade (1994)
375,"Secret Adventures of Tom Thumb, The (1993)","Secret Adventures of Tom Thumb, The (1993)"
376,Street Fighter (1994),Street Fighter: A Última Batalha (1994)
377,Coldblooded (1995),A Sangue Frio (1995)
378,"Fear, The (1995)",O Medo (1995)
379,Frank and Ollie (1995),Frank e Ollie (1995)
380,Open Season (1996),Open Season (1996)
381,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X (1994)
382,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Highlander 3: O Feiticeiro (1994)
383,Federal Hill (1994),Federal Hill (1994)
384,In the Mouth of Madness (1995),No Limite da Loucura (1995)
385,8 Seconds (1994),Oito Segundos (1994)
386,Above the Rim (1994),O Lance do Crime (1994)
387,Addams Family Values (1993),A Família Addams 2 (1993)
388,Martin Lawrence: You So Crazy (1994),Martin Lawrence: You So Crazy (1994)
389,"Age of Innocence, The (1993)",A Época da Inocência (1993)
390,Airheads (1994),Os Cabeça-de-Vento (1994)
391,"Air Up There, The (1994)",Um Gigante de Talento (1994)
392,Another Stakeout (1993),Uma Nova Tocaia (1993)
393,Bad Girls (1994),Quatro Mulheres e um Destino (1994)
394,Barcelona (1994),Barcelona (1994)
395,Being Human (1993),Segredos da Vida (1993)
396,"Beverly Hillbillies, The (1993)",A Família Buscapé (1993)
397,Beverly Hills Cop III (1994),Um Tira da Pesada III (1994)
398,Black Beauty (1994),Beleza Negra (1994)
399,Blink (1994),Blink - Num Piscar de Olhos (1994)
400,Blown Away (1994),Contagem Regressiva (1994)
401,Blue Chips (1994),Jogando as Fichas Fora (1994)
402,Blue Sky (1994),Céu Azul (1994)
403,Body Snatchers (1993),Os Invasores de Corpos: A Invasão Continua (1993)
404,Boxing Helena (1993),Encaixotando Helena (1993)
405,"Bronx Tale, A (1993)",Desafio no Bronx (1993)
406,Cabin Boy (1994),Um Gaiato no Navio (1994)
407,Calendar Girl (1993),A Garota do Calendário (1993)
408,Carlito's Way (1993),O Pagamento Final (1993)
409,City Slickers II: The Legend of Curly's Gold (1994),Em Busca do Ouro Perdido (1994)
410,Clean Slate (1994),Memória Curta (1994)
411,Cliffhanger (1993),Risco Total (1993)
412,Coneheads (1993),Cônicos & Cômicos (1993)
413,Color of Night (1994),A Cor da Noite (1994)
414,Cops and Robbersons (1994),Confusão em Dose Dupla (1994)
415,"Cowboy Way, The (1994)",Jeito de Cowboy (1994)
416,Dangerous Game (1993),Olhos de Serpente (1993)
417,Dave (1993),"Dave, Presidente por um Dia (1993)"
418,Dazed and Confused (1993),"Jovens, Loucos e Rebeldes (1993)"
419,Demolition Man (1993),O Demolidor (1993)
420,"Endless Summer 2, The (1994)",Alegria de Verão 2 (1994)
421,Even Cowgirls Get the Blues (1993),Até as Vaqueiras Ficam Tristes (1993)
422,Fatal Instinct (1993),Distração Fatal (1993)
423,Farewell My Concubine (Ba wang bie ji) (1993),"Adeus, Minha Concubina (1993)"
424,"Favor, The (1994)",Um Favor Indecente (1994)
425,Fearless (1993),Sem Medo de Viver (1993)
426,Fear of a Black Hat (1994),Fear of a Black Hat (1994)
427,With Honors (1994),Com Mérito (1994)
428,Flesh and Bone (1993),A Força de um Passado (1993)
429,Widows' Peak (1994),As Viúvas Alegres (1994)
430,For Love or Money (1993),Por Amor ou por Dinheiro (1993)
431,"Firm, The (1993)",A Firma (1993)
432,Free Willy (1993),Free Willy (1993)
433,Fresh (1994),Fresh (1994)
434,"Fugitive, The (1993)",O Fugitivo (1993)
435,Geronimo: An American Legend (1993),Gerônimo: Uma Lenda Americana (1993)
436,"Getaway, The (1994)",A Fuga (1994)
437,Getting Even with Dad (1994),Acertando as Contas com Papai (1994)
438,Go Fish (1994),O Par Perfeito (1994)
439,"Good Man in Africa, A (1994)",Jogos de Conexão (1994)
440,Guilty as Sin (1993),Culpado como o Pecado (1993)
441,Hard Target (1993),O Alvo (1993)
442,Heaven & Earth (1993),Entre o Céu e a Terra (1993)
443,Hot Shots! Part Deux (1993),Top Gang 2! A Missão (1993)
444,Live Nude Girls (1995),Feitiço da Noite (1995)
445,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",O Inglês que Subiu a Colina e Desceu a Montanha (1995)
446,"House of the Spirits, The (1993)",A Casa dos Espíritos (1993)
447,House Party 3 (1994),House Party 3 (1994)
448,"Hudsucker Proxy, The (1994)",Na Roda da Fortuna (1994)
449,I'll Do Anything (1994),Disposto a Tudo (1994)
450,In the Army Now (1994),Um Maluco no Exército (1994)
451,In the Line of Fire (1993),Na Linha de Fogo (1993)
452,In the Name of the Father (1993),Em Nome do Pai (1993)
453,"Inkwell, The (1994)",O Verão de 76 (1994)
454,What's Love Got to Do with It? (1993),Tina - A Verdadeira História de Tina Turner (1993)
455,Jimmy Hollywood (1994),Jimmy Hollywood (1994)
